76+76	14+57,44+45,53+52,32+71,54+52,31+61,75+41,36+33,57+44,60+57,75+25,61+23,22+77,11+37,14+54,61+55,73+74,41+56,20+71,66+74,53+73,66+54,47+65,45+73,20+64,36+70,12+73,63+51,61+43,60+60,56+51,74+13
14+57	14+36,24+37,72+63,70+72,72+34,17+62,17+66,54+65,77+34,65+52,64+46,71+13,65+23,27+46,16+76,70+27,47+50,17+34,77+16,21+72,16+66,60+71,74+32,17+76,41+74,24+55,30+77,67+66,32+26,24+35,75+61,36+52
44+45	36+75,57+45,75+17,35+62,26+71,44+47,73+41,73+17,73+52,13+46,32+17,26+66,57+65,77+43,53+15,65+75,12+74,52+76,54+67,30+77,32+72,77+36,50+51,61+66,73+36,77+76,53+70,60+62,44+74,76+46,24+65,27+71
53+52	62+75,40+57,47+11,52+65,15+26,77+10,57+55,61+64,72+44,61+53,16+45,73+45,71+10,21+76,72+60,77+46,17+75,64+15,73+75,21+60,35+60,53+72,27+17,25+37,34+55,26+22,73+33,40+72,50+41,61+26,36+62,56+35
32+71	13+45,60+46,16+65,31+52,77+42,76+42,27+32,37+61,77+57,74+52,47+17,73+56,46+41,64+34,73+51,11+74,35+13,72+16,74+32,53+51,46+64,37+32,21+61,46+57,24+37,66+27,45+40,44+27,13+15,61+66,50+34,63+24
54+52	21+47,65+42,36+66,27+62,55+23,27+36,47+43,73+43,50+40,21+72,30+62,64+75,47+16,57+44,67+25,25+14,60+21,76+63,56+53,51+75,37+34,13+75,36+37,51+17,47+16,47+41,72+43,41+76,56+12,27+22,74+35,41+54
31+61	53+64,77+57,54+33,26+23,30+66,70+16,64+15,14+65,25+67,55+30,72+42,77+53,22+73,76+32,55+47,67+77,55+61,32+56,63+75,74+40,37+63,35+62,62+30,23+46,65+66,40+44,57+70,51+46,72+62,61+41,57+62,50+35
75+41	76+10,62+43,55+26,34+77,57+14,60+46,61+45,60+34,63+75,55+73,30+50,52+35,34+37,76+56,20+72,50+42,30+67,64+63,16+32,51+56,76+34,35+33,66+72,70+72,76+37,16+63,63+65,67+13,53+32,76+17,27+71,46+34
36+33	45+55,14+17,14+26,46+76,60+57,32+54,55+30,67+15,70+36,52+44,27+60,60+76,25+71,12+74,24+34,74+57,27+52,75+71,27+53,77+52,65+62,40+51,75+11,16+55,57+36,55+71,53+16,60+64,76+12,45+54,64+57,42+17
57+44	74+26,77+41,70+56,74+11,71+35,17+12,22+72,63+55,17+66,22+47,20+66,62+20,10+71,52+72,66+70,46+55,63+25,53+56,16+43,46+26,27+41,74+35,50+57,24+15,76+61,16+66,41+67,57+22,37+42,54+71,35+25,77+60
60+57	24+25,36+60,36+16,36+63,46+41,61+76,52+77,34+65,61+76,74+25,65+52,44+26,36+44,46+71,62+20,51+63,51+32,41+70,11+37,31+67,34+67,73+21,72+12,56+53,52+42,40+41,66+33,57+17,51+37,56+44,23+55,24+72
75+25	41+17,46+51,37+21,20+72,76+57,61+45,75+71,60+23,17+35,24+27,65+36,52+71,45+57,25+65,44+36,74+71,44+17,37+21,66+47,57+53,66+54,17+36,65+21,25+13,21+73,56+12,23+46,40+43,40+54,15+65,75+67,62+51
61+23	31+61,30+62,52+43,55+26,51+51,67+17,42+45,26+36,15+73,43+37,76+17,60+56,77+26,24+47,37+52,71+24,77+43,47+22,40+75,73+65,26+27,63+57,13+45,12+27,73+61,76+64,65+43,25+55,67+47,65+77,72+47,63+30
