76+14	86+57,63+34,31+58,67+25,75+48,87+50,85+45,38+81,25+81,58+51,68+48,57+26,63+52,81+22,78+58,43+74,87+61,61+85,33+18,26+25,31+83,51+41,55+72,18+80,26+44,67+33,51+82,17+78,55+74,38+17,25+18,52+47
86+57	64+62,56+71,43+86,70+76,12+81,52+88,88+10,85+57,16+48,31+86,24+38,61+34,58+65,17+86,68+33,34+65,61+60,55+78,34+27,40+52,24+75,87+65,27+27,70+55,32+71,78+57,83+71,63+52,73+61,20+83,27+74,23+86
63+34	68+31,82+76,85+87,65+60,34+36,14+17,62+37,68+78,44+77,34+55,27+54,76+70,72+81,35+70,86+80,63+77,20+85,24+36,51+40,77+63,85+20,43+28,78+51,36+71,72+17,76+17,64+25,65+30,42+37,27+64,67+54,52+72
31+58	33+68,36+58,72+74,61+47,68+16,70+75,83+64,81+31,72+76,33+85,35+81,83+50,87+13,51+58,36+81,83+74,14+78,77+24,64+41,61+42,26+54,38+48,26+74,57+62,77+38,55+86,47+88,67+17,52+80,40+67,70+21,70+60
67+25	42+53,26+85,72+66,72+82,62+42,85+76,86+43,83+16,60+33,51+55,77+18,77+84,83+64,60+50,31+73,78+47,65+85,61+48,63+44,54+74,85+40,87+80,77+87,22+73,81+78,70+33,83+34,65+71,58+44,88+88,54+40,43+50
75+48	70+26,51+63,53+41,55+45,84+32,18+65,38+22,47+43,33+75,67+84,13+37,88+61,52+73,64+70,40+63,67+44,62+50,68+12,60+80,66+33,86+35,52+66,70+74,80+26,72+18,38+31,63+33,71+82,14+66,10+81,64+37,48+62
87+50	75+57,70+58,58+80,50+86,26+67,54+48,66+53,25+48,62+35,64+55,86+72,12+17,35+17,53+28,74+38,76+54,50+74,58+65,36+67,18+73,67+13,44+36,27+47,23+37,26+74,56+65,24+17,14+46,76+70,85+34,60+77,28+80
85+45	60+66,34+72,36+58,80+18,72+61,28+34,44+64,58+82,88+30,38+15,23+83,88+35,37+18,21+75,85+78,61+35,63+16,35+26,17+64,57+72,17+53,71+61,36+15,88+87,20+74,18+21,65+27,45+17,70+43,63+36,85+36,70+76
38+81	63+35,48+71,36+61,76+47,73+73,86+24,58+68,17+44,76+71,87+32,67+72,58+25,62+67,64+70,58+70,74+73,62+31,77+21,78+32,18+37,64+61,74+35,68+36,53+75,77+56,71+32,18+23,24+36,67+61,85+57,42+28,73+86
25+81	37+16,26+63,80+81,58+88,77+52,48+62,52+81,27+76,24+83,24+35,81+88,43+84,53+17,68+61,24+73,66+33,53+85,75+83,65+74,66+51,84+27,67+41,76+88,83+78,57+45,11+85,73+70,16+24,71+33,46+77,16+46,14+15
58+51	65+82,73+63,78+28,27+28,87+37,62+74,71+63,83+67,70+80,77+46,44+87,33+84,67+38,23+58,15+37,73+77,42+70,68+45,38+72,83+80,47+68,33+83,28+74,67+42,68+67,77+67,36+88,73+26,78+40,38+84,78+21,80+46
68+48	40+62,84+27,53+76,63+51,12+67,28+86,72+30,54+71,64+63,80+55,35+28,71+51,22+80,45+28,47+62,55+43,85+34,48+67,26+71,27+62,53+74,25+68,50+48,34+16,74+44,68+87,13+86,22+37,47+54,76+80,38+63,32+58
57+26	48+50,83+16,36+73,78+81,13+77,56+66,27+47,35+65,58+52,17+46,67+57,37+55,66+76,53+46,44+38,38+85,56+57,13+57,50+42,46+85,61+71,12+18,55+46,82+73,38+26,55+40,62+64,87+64,58+77,72+72,51+74,51+68
63+52	31+76,80+62,72+56,78+17,38+33,31+84,54+46,52+38,31+60,62+61,25+44,85+87,76+88,78+23,36+62,71+28,54+67,75+88,63+16,27+25,73+18,62+64,87+70,47+62,17+36,57+40,82+85,66+38,76+45,74+43,53+67,45+35
81+22	42+58,38+27,83+35,41+83,56+58,45+75,38+81,58+57,75+70,58+84,77+63,21+28,18+61,51+72,44+52,44+84,36+33,15+82,51+53,72+37,18+63,37+67,67+55,53+58,71+36,36+58,85+78,15+76,57+73,83+71,28+71,82+13
78+58	43+26,71+48,43+81,76+57,13+83,87+24,56+64,21+85,23+36,40+84,38+62,28+65,58+76,70+37,24+38,47+62,36+53,22+37,81+61,27+48,54+72,84+70,22+80,65+56,70+53,47+60,56+35,73+51,84+44,51+62,80+77,14+77
43+74	26+53,87+58,72+84,55+45,72+23,67+82,66+76,61+28,82+20,77+46,26+14,34+58,67+43,67+58,37+70,44+28,51+28,50+41,37+32,84+37,73+56,47+62,70+73,55+67,84+64,32+47,60+67,88+33,75+30,86+87,60+43,74+41
87+61	70+85,13+56,88+51,76+44,86+16,57+36,76+57,64+72,60+77,84+23,63+70,62+37,42+18,76+34,77+58,12+82,21+84,54+70,55+81,14+47,58+46,25+14,12+37,22+18,23+27,71+27,88+38,31+18,41+75,68+74,64+68,31+87
61+85	41+82,55+41,45+71,56+60,63+70,78+52,50+51,66+14,42+55,22+83,62+73,85+65,20+75,37+46,13+86,72+36,77+44,36+58,75+77,81+55,54+56,17+46,78+24,10+86,68+88,88+82,15+44,71+41,37+37,67+37,57+68,40+68
33+18	56+24,38+32,17+81,12+82,51+55,37+60,54+62,17+76,41+74,86+86,36+46,85+64,85+42,82+63,82+28,85+31,62+55,21+75,64+60,26+87,31+71,56+38,84+62,74+32,23+67,25+74,80+35,37+43,22+86,62+43,67+67,82+20
26+25	88+76,65+45,82+17,64+41,78+66,46+13,17+16,64+57,68+77,64+57,66+66,50+47,56+72,37+42,41+58,32+81,83+72,77+35,43+84,22+71,55+37,68+21,66+45,71+61,87+53,70+65,12+38,67+26,57+50,70+81,34+64,37+80
31+83	62+70,78+88,36+62,40+75,55+57,14+86,47+18,75+45,41+66,70+22,76+21,48+23,67+22,30+84,48+17,37+48,15+58,44+16,61+64,61+52,16+46,84+12,88+20,72+48,74+36,15+78,48+63,16+88,13+67,41+55,64+32,74+16
51+41	27+36,46+72,85+18,43+77,34+15,22+38,74+15,56+13,53+61,57+64,14+25,53+63,43+46,28+52,66+18,18+71,53+51,28+78,62+31,54+37,53+41,83+66,85+31,86+85,57+34,16+27,44+26,76+63,34+67,31+63,28+27,84+61
55+72	40+74,63+64,27+55,57+15,63+65,66+40,78+56,18+25,75+50,27+56,42+80,47+54,68+67,18+26,87+70,68+42,58+56,17+46,58+51,64+57,81+55,25+28,57+28,17+44,54+46,87+55,14+25,22+77,55+53,38+87,38+14,65+60
